KO	EC	Pathway	Brite	KO_Name
K01109	3.1.3.66	ko04070;ko00562		INPP4; inositol polyphosphate-4-phosphatase
K01108	3.1.3.64;3.1.3.95	ko04070;ko00562	ko01009	MTM1; myotubularin
K01101	3.1.3.41	ko00627		E3.1.3.41; 4-nitrophenyl phosphatase
K01100	3.1.3.37	ko00710		E3.1.3.37; sedoheptulose-bisphosphatase
K01103	3.1.3.46;2.7.1.105	ko04152;ko04066;ko00051		PFKFB3; 6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 3
K01102	3.1.3.43		ko01009	PDP; pyruvate dehydrogenase phosphatase
K01104	3.1.3.48			E3.1.3.48; protein-tyrosine phosphatase
K01107	3.1.3.57	ko04070;ko00562		INPP1; inositol polyphosphate 1-phosphatase
K01106	3.1.3.56	ko04070;ko04910;ko00562		INPP5A; inositol polyphosphate 5-phosphatase INPP5A
K09787				K09787; uncharacterized protein
K09786				K09786; uncharacterized protein
K09785				K09785; uncharacterized protein
K06576		ko05144	ko04090	GYPC, CD236; glycophorin C
K06571		ko05202	ko04147;ko04090	TSPAN7, TM4SF2, MXS1, CD231; tetraspanin-7
K06570			ko04090	LY9, CD229; lymphocyte antigen 9
K09781				K09781; uncharacterized protein
K09780				K09780; uncharacterized protein
K02456		ko03070;ko05111	ko02044	gspG; general secretion pathway protein G
K02457		ko03070;ko05111	ko02044	gspH; general secretion pathway protein H
K02454	7.4.2.8	ko03070;ko05111	ko02044	gspE; general secretion pathway protein E
K02455		ko03070;ko05111	ko02044	gspF; general secretion pathway protein F
K02452		ko03070;ko05111	ko02044	gspC; general secretion pathway protein C
K02453		ko03070;ko05111	ko02044	gspD; general secretion pathway protein D
K02450			ko02044	gspA; general secretion pathway protein A
K02451			ko02044	gspB; general secretion pathway protein B
K05418		ko04060;ko04151;ko04630	ko04052	OSM; oncostatin M
K02458		ko03070;ko05111	ko02044	gspI; general secretion pathway protein I
K02459		ko03070;ko05111	ko02044	gspJ; general secretion pathway protein J
K23992	2.7.8.34;2.7.7.74	ko00562		K23992; 1L-myo-inositol 1-phosphate cytidylyltransferase / CDP-L-myo-inositol myo-inositolphosphotransferase
K21735	1.14.19.30			DES5; acyl-lipid (8-3)-desaturase
K23993	2.7.1.202;2.7.3.9	ko02060	ko02000	fruB; multiphosphoryl transfer protein
K19601			ko04990	EYS; protein eyes shut
K23991	2.7.1.-;2.7.3.9		ko02000	ptsA, fryA; multiphosphoryl transfer protein
K05411		ko05417;ko05170;ko04936;ko05135;ko05133;ko05131;ko05171;ko05165;ko05164;ko05167;ko05161;ko05160;ko05163;ko05162;ko04621;ko04620;ko04623;ko04622;ko05169;ko05168;ko05203	ko03000;ko04131	IRF3; interferon regulatory factor 3
K19607			ko03037	RPGR; X-linked retinitis pigmentosa GTPase regulator
K05410	2.7.11.10	ko05022;ko04936;ko04657;ko05417;ko04140;ko05170;ko05171;ko05014;ko05135;ko05131;ko04014;ko04137;ko05165;ko05164;ko05167;ko05161;ko05160;ko05163;ko05162;ko04621;ko04620;ko04623;ko04622;ko05169;ko05168	ko01001;ko04131	TBK1; TANK-binding kinase 1
K23997	5.1.99.6;4.2.1.136			nnr; ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase
K21736	1.14.19.34;1.14.19.33			FADX; Delta12 acyl-lipid conjugase (11E,13E-forming) / acyl-lipid (9+3)-(E)-desaturase
K19605		ko04340	ko03037	EVC1; ellis van creveld syndrome protein 1
K23995	1.1.2.10	ko00680		xoxF; lanthanide-dependent methanol dehydrogenase
K23998	5.1.99.6;1.4.3.5	ko00750		PPOX; pyridoxal 5'-phosphate synthase / NAD(P)H-hydrate epimerase
K08783	3.4.17.-		ko01002	ECM14; extracellular matrix protein 14
K06229		ko05217;ko05200;ko04340;ko04341	ko03037	SUFU; suppressor of fused
K06228	2.7.11.1	ko04341	ko03037;ko01001	FU; fused
K06221	1.1.1.346			dkgA; 2,5-diketo-D-gluconate reductase A
K06223	2.1.1.72	ko03430	ko02048;ko03400;ko03032	dam; DNA adenine methylase
K06222	1.1.1.346			dkgB; 2,5-diketo-D-gluconate reductase B
K06225		ko04024;ko04360;ko05217;ko05205;ko05200;ko04340;ko04341		PTCH1; patched 1
K06224		ko04341	ko01002;ko00536	HH; hedgehog
K06227		ko04341		COS2; costal 2
K06226		ko04360;ko05217;ko05205;ko05200;ko04340;ko04341	ko04030	SMO; smoothened
K25318			ko03036	MEI1; meiosis inhibitor protein 1
K25319		ko03230	ko03200	GP2; Old World arenavirus glycoprotein GP2
K25312	2.1.1.-	ko03240	ko03200	VP2; Coltivirus RNA methyltransferase VP2
K25313		ko03240	ko03200	VP3; Coltivirus protein VP3
K25310	3.1.4.-;2.7.7.50;2.1.1.56	ko03240	ko03200	VP3; Rotavirus protein VP3
K25311	2.7.7.48	ko03240	ko03200	VP1; Coltivirus RNA-directed RNA polymerase
