Contig	Assembly_with_MEGAHIT/fw0 Mean	Assembly_with_MEGAHIT/fw1 Mean
k141_0	1303.1305	1907.9758
k141_8600	4.055944	0.97902095
k141_19346	41.05263	263.05264
k141_4300	48.340908	281.32574
k141_12899	528.7973	75.689186
k141_2	6.36	148.67
k141_17198	9.954545	126.045456
k141_8602	2173.1584	3328.9084
k141_10751	0	28.479797
k141_4301	0	5.139535
k141_19348	147.14285	605.72095
k141_12901	20.123932	62.25641
k141_15048	14.129161	14.031958
k141_8603	0	24.772152
k141_17200	96.133	456.66995
k141_12902	59.07143	321.9881
k141_4302	0.49532712	91.037384
k141_19349	28.406015	366.1504
k141_15050	0.3559322	2.542373
k141_10753	186.55145	0
k141_12903	65.07723	273.77237
k141_8607	0	5.1179485
k141_17202	50.889362	513.0553
k141_8608	0	1.718232
k141_12904	0.90697676	65.44574
k141_19350	152.98837	0
k141_15052	0.25666666	4.5066667
k141_10757	28.03077	282.39487
k141_19351	8.883333	188.98334
k141_8611	129.01639	11.327868
k141_6450	21315.582	34314.22
k141_12907	16.466667	400.25333
k141_15053	0.3101737	6.83871
k141_10758	1.4123712	24.054983
k141_6452	32.507248	55.173912
k141_17203	68.804924	495.44202
k141_15055	0	1.7177033
k141_12909	2658.989	4108.7534
k141_17204	0	2.3761904
k141_8616	3.0308218	9.628425
k141_15056	0	3.1840491
k141_12911	0	4.547855
k141_8617	0	1.9809524
k141_15057	56.4375	497.40625
k141_8618	0	2.559633
k141_12915	26.640625	227.6875
k141_15059	0	0
k141_4	1364.046	579.977
k141_8619	0	58.984734
k141_2150	4.1661186	6.450316
k141_5	1.9904761	28.533333
k141_2151	2.0786517	3.1966293
k141_8621	0	13.068966
k141_6	35.81818	56.5
k141_2152	362.5038	174.01527
k141_15060	1.0836066	30.501638
k141_15061	0	1.9661016
k141_8624	0	3.470803
k141_2153	2284.65	217.94615
k141_17206	0.6149312	33.923378
k141_7	233.4807	78.68421
k141_10759	131.72752	379.2666
k141_15062	89.977776	28.51111
k141_17207	137.03297	51.725273
k141_12917	0.5772443	27.692066
k141_8625	3.4267242	3.4956896
k141_15063	0	23.421875
k141_12918	0	3.5211267
k141_2154	0	3.1030445
k141_17208	0	6.335878
k141_8626	34.275	98.9
k141_8	146.0023	1396.3187
k141_12919	39.30357	210.98215
k141_8627	65.89474	136.14473
k141_15064	0	2.7453415
k141_17209	197.36723	1098.9379
k141_2156	0	17.068703
k141_12920	12.843284	117.283585
k141_9	0	45.622223
k141_15065	444.35	213.13333
k141_12921	156.14583	460.58334
k141_10	2.2020202	143.25252
k141_8628	48.131866	41.875458
k141_19352	1.1146865	10.218647
k141_17210	7.340476	376.2976
k141_11	0	30.656084
k141_2157	22.68298	76.31064
k141_15067	1.631068	2.168285
k141_8629	298.5099	91.38614
k141_15068	1.0127388	41.554142
k141_13	46.412697	312.34128
k141_2158	71.29771	24.877863
k141_8630	40.773335	523.0267
k141_12923	5.8004537	118.02041
k141_19353	0	2.0482574
k141_17211	68.73379	861.0478
k141_2159	29.907894	144.25
k141_14	0	627.9341
k141_15071	13.068966	14.21456
k141_17212	0	2.566265
