Accn	Pfam	Pfam_desc	CDD	CDD_desc	InterPro	InterPro_desc	GO	KEGG	EC	TIGRFAM	TIGRFAM_desc	HAMAP	HAMAP_desc	CAZy	KoFamScan
k141_10012_1_1159_+	PF13936	Helix-turn-helix domain			IPR025246	Transposase IS30-like HTH domain	-								K07482
k141_10012_1359_1805_+															
k141_10017_1047_1190_-															
k141_10017_1_133_-															
k141_10017_1196_1270_+															
k141_10017_1520_2428_+	PF03412	Peptidase C39 family			IPR005074	Peptidase C39, bacteriocin processing	GO:0005524;GO:0006508;GO:0008233;GO:0016020								
k141_10017_2465_2969_+															
k141_10017_2981_3658_+															
k141_10017_3837_4228_+															
k141_10017_393_645_+															
k141_10017_4240_4990_+															
k141_10017_5124_5665_+															
k141_10017_686_865_+															
k141_10021_1_825_+	PF02852;PF07992	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain;Pyridine nucleotide-disulphide oxidoreductase			IPR004099;IPR023753	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain;FAD/NAD(P)-binding domain	-;GO:0016491								
k141_10021_918_1247_-	PF00196	Bacterial regulatory proteins, luxR family			IPR000792	Transcription regulator LuxR, C-terminal	GO:0006355								
k141_10032_1_3314_-	PF01878;PF07728;PF10117	EVE domain;AAA domain (dynein-related subfamily);McrBC 5-methylcytosine restriction system component			IPR002740;IPR011704;IPR019292	EVE domain;ATPase, dynein-related, AAA domain;Type IV methyl-directed restriction enzyme EcoKMcrBC	-;GO:0005524;GO:0016887								K07452;K19147
k141_10032_3392_3526_+															
k141_10043_1_2451_-	PF00072;PF02518;PF07568;PF08447	Response regulator receiver domain;Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase;Histidine kinase;PAS fold			IPR001789;IPR003594;IPR011495;IPR013655;IPR000014	Signal transduction response regulator, receiver domain;Histidine kinase/HSP90-like ATPase;Signal transduction histidine kinase, subgroup 2, dimerisation and phosphoacceptor domain;PAS fold-3;PAS domain	GO:0000160;-;GO:0005515			TIGR00229	sensory_box: PAS domain S-box protein				K00936;K22010
k141_10043_2580_3515_+	PF04463;PF08349	2-thiouracil desulfurase;Protein of unknown function (DUF1722)			IPR007553;IPR013560	2-thiouracil desulfurase;Domain of unknown function DUF1722	-								
k141_10043_3525_4862_+	PF00875	DNA photolyase			IPR006050;IPR008148	DNA photolyase, N-terminal;DNA photolyase class 2	-;GO:0003904;GO:0006281			TIGR00591	phr2: deoxyribodipyrimidine photolyase				
k141_10043_5005_7124_+	PF00248;PF02632;PF06935	Aldo/keto reductase family;BioY family;Protein of unknown function (DUF1284)			IPR023210;IPR003784;IPR009702	NADP-dependent oxidoreductase domain;BioY protein;Protein of unknown function DUF1284	-;GO:0005886;GO:0015225;GO:0015878								K07079;K03523;K09706
k141_10043_7217_7375_+															
k141_10043_7460_7999_+	PF02926	THUMP domain			IPR004114	THUMP domain	GO:0003723								K06963
k141_10043_8121_8783_+	PF13290	Chitobiase/beta-hexosaminidase C-terminal domain			-	-									
k141_10043_8977_9129_+															
k141_10075_1134_3444_-	PF03812;PF07005;PF17042	2-keto-3-deoxygluconate permease;Sugar-binding N-terminal domain;Nucleotide-binding C-terminal domain			IPR004684;IPR010737;IPR031475	2-keto-3-deoxygluconate permease;Four-carbon acid sugar kinase, N-terminal domain;Four-carbon acid sugar kinase, nucleotide binding domain	GO:0008643;GO:0015649;GO:0016020;GO:0046411;-								K02526;K22129
k141_10075_3558_3776_-															
k141_10075_94_1101_-	PF04166	Pyridoxal phosphate biosynthetic protein PdxA			IPR005255	PdxA family	GO:0051287			TIGR00557	pdxA: 4-hydroxythreonine-4-phosphate dehydrogenase PdxA				K22024
k141_10076_1_1077_-	PF01555	DNA methylase			IPR002941	DNA methylase N-4/N-6	GO:0003677;GO:0006306;GO:0008170								K07316
k141_10087_1_1126_+	PF01555	DNA methylase			IPR002941	DNA methylase N-4/N-6	GO:0003677;GO:0006306;GO:0008170								K07316
k141_10090_1112_2077_+	PF10707;PF13424	PhoP regulatory network protein YrbL;Tetratricopeptide repeat			IPR019647;-	PhoP regulatory network protein YrbL;-	-								
k141_10090_1_900_-	PF00248	Aldo/keto reductase family			IPR023210	NADP-dependent oxidoreductase domain	-								K07079
k141_10090_2103_2814_-	PF02142;PF02786	MGS-like domain;Carbamoyl-phosphate synthase L chain, ATP binding domain			IPR011607;IPR005479	Methylglyoxal synthase-like domain;Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain	-;GO:0005524								
k141_10101_1_1481_-	PF00772;PF03796	DnaB-like helicase N terminal domain;DnaB-like helicase C terminal domain			IPR007693;IPR007694;IPR007692	DNA helicase, DnaB-like, N-terminal;DNA helicase, DnaB-like, C-terminal;DNA helicase, DnaB type	GO:0003678;GO:0005524;GO:0006260;GO:0003677			TIGR00665	DnaB: replicative DNA helicase				K02314
k141_10104_1_900_-	PF00248	Aldo/keto reductase family			IPR023210	NADP-dependent oxidoreductase domain	-								K07079
k141_10104_2004_2715_-	PF02142;PF02786	MGS-like domain;Carbamoyl-phosphate synthase L chain, ATP binding domain			IPR011607;IPR005479	Methylglyoxal synthase-like domain;Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain	-;GO:0005524								
k141_10104_966_1978_+	PF10707	PhoP regulatory network protein YrbL			IPR019647	PhoP regulatory network protein YrbL	-								
k141_10113_1_1015_-	PF04951	D-aminopeptidase			IPR007035	Peptidase M55, D-aminopeptidase	-								K16203
k141_10126_1_1566_-	PF00137	ATP synthase subunit C			IPR002379	V-ATPase proteolipid subunit C-like domain	GO:0015078;GO:0033177;GO:1902600								K02124;K01992
k141_10139_1_1228_-	PF01881	CRISPR associated protein Cas6, C-terminal			IPR010156	CRISPR-associated protein, Cas6	GO:0016788			TIGR01877	cas_cas6: CRISPR-associated endoribonuclease Cas6				K19091
k141_10139_1255_1350_-															
k141_10145_1_171_+															
k141_10145_13495_14100_-	PF08849	BrxA			IPR014948	BrxA	-								
k141_10145_14194_14370_-															
k141_10145_14606_15244_-	PF03358	NADPH-dependent FMN reductase			IPR005025	NADPH-dependent FMN reductase-like	GO:0016491								
k141_10145_15495_16196_-	PF00255	Glutathione peroxidase			IPR000889	Glutathione peroxidase	GO:0004602;GO:0006979								K00432
k141_10145_180_3065_-	PF04326;PF05362;PF13337;PF20442	Putative DNA-binding domain;Lon protease (S16) C-terminal proteolytic domain;Lon-like protease BrxL-like, ATPase domain;BREX system Lon protease-like protein BrxL N-terminal			IPR007421;IPR008269;IPR014061;IPR046838;IPR013473	Schlafen, AlbA_2 domain;Peptidase S16, Lon proteolytic domain;Lon-like protease BrxL-like;BREX system Lon protease-like BrxL, N-terminal;Lon-like protease BrxL	-;GO:0004176;GO:0004252;GO:0006508			TIGR02653;TIGR02688	Lon_rel_chp: conserved hypothetical protein;TIGR02688: TIGR02688 family protein				
k141_10145_3079_13494_-	PF07669;PF08665;PF08747	Eco57I restriction-modification methylase;PglZ domain;BREX protein BrxB			IPR011639;IPR013973;IPR014858;IPR014060	Type II restriction enzyme and methyltransferase RM.Eco57I-like;PglZ domain;BREX protein BrxB;Alkaline phosphatase-like protein PglZ	GO:0003677;GO:0003824;GO:0006304;-			TIGR02687	TIGR02687: TIGR02687 family protein				K07317
k141_10181_1257_2246_+	PF00676	Dehydrogenase E1 component			IPR001017	Dehydrogenase, E1 component	GO:0016624								K00161
k141_10181_1_804_+	PF02779;PF02780	Transketolase, pyrimidine binding domain;Transketolase, C-terminal domain			IPR005475;IPR033248	Transketolase-like, pyrimidine-binding domain;Transketolase, C-terminal domain	-								
