target_id	1-T2A_S26_L005001.fastq_length	1-T2A_S26_L005001.fastq_eff_length	1-T2A_S26_L005001.fastq_est_counts	1-T2A_S26_L005001.fastq_tpm	2-T2B_S37_L005001.fastq_length	2-T2B_S37_L005001.fastq_eff_length	2-T2B_S37_L005001.fastq_est_counts	2-T2B_S37_L005001.fastq_tpm	3-T2C2_S40_L005001.fastq_length	3-T2C2_S40_L005001.fastq_eff_length	3-T2C2_S40_L005001.fastq_est_counts	3-T2C2_S40_L005001.fastq_tpm	7-T4A_S44_L005001.fastq_length	7-T4A_S44_L005001.fastq_eff_length	7-T4A_S44_L005001.fastq_est_counts	7-T4A_S44_L005001.fastq_tpm	8-T4B_S45_L005001.fastq_length	8-T4B_S45_L005001.fastq_eff_length	8-T4B_S45_L005001.fastq_est_counts	8-T4B_S45_L005001.fastq_tpm	9-T4C_S46_L005001.fastq_length	9-T4C_S46_L005001.fastq_eff_length	9-T4C_S46_L005001.fastq_est_counts	9-T4C_S46_L005001.fastq_tpm	13-T6A_S30_L005001.fastq_length	13-T6A_S30_L005001.fastq_eff_length	13-T6A_S30_L005001.fastq_est_counts	13-T6A_S30_L005001.fastq_tpm	14-T6B2_S31_L005001.fastq_length	14-T6B2_S31_L005001.fastq_eff_length	14-T6B2_S31_L005001.fastq_est_counts	14-T6B2_S31_L005001.fastq_tpm	15-T6C_S32_L005001.fastq_length	15-T6C_S32_L005001.fastq_eff_length	15-T6C_S32_L005001.fastq_est_counts	15-T6C_S32_L005001.fastq_tpm
k141_10012_1359_1805_+	441	234.78	4	0.913652	441	246.875	6	2.47736	441	254.71	6	3.75505	441	258.26	28	7.34423	441	253.83	45	9.75614	441	251.763	44	10.5401	441	242.674	27	10.4742	441	258.567	20	6.45578	441	261.227	13	5.08262
k141_10012_1_1159_+	1155	956.797	557	31.2189	1155	935.704	694	75.6025	1155	942.718	645	109.066	1155	1001.18	717.406	48.54	1155	958.14	1462	83.9705	1155	976.028	1158.83	71.6047	1155	972.506	746	72.2151	1155	1040.71	405	32.4802	1155	1071.48	374	35.6491
k141_10017_1047_1190_-	141	26.7093	0	0	141	25.7915	0	0	141	27.7303	0	0	141	27.1875	0	0	141	29.0723	0	0	141	32.8377	0	0	141	27.9346	0	0	141	31.4837	0	0	141	32.1549	1	3.17626
k141_10017_1196_1270_+	72	9.29333	0	0	72	8.93846	0	0	72	10.0098	1	15.9252	72	7.43262	1	9.11389	72	9.54373	0	0	72	8.62115	1	6.99549	72	7.58228	0	0	72	7.53774	2	22.1452	72	8.27634	0	0
k141_10017_1520_2428_+	903	944.015	2	0.113614	903	939.743	1	0.108469	903	708.691	0	0	903	713.14	0	0	903	705.5	0	0	903	990.383	2	0.12179	903	969.766	1	0.0970766	903	1030.65	2	0.161961	903	1060.7	1	0.0962876
k141_10017_1_133_-	126	20.9037	0	0	126	19.3232	0	0	126	21.5849	0	0	126	22.1751	0	0	126	24.1177	0	0	126	28.6993	0	0	126	24.5313	0	0	126	28.5325	0	0	126	28.6369	0	0
k141_10017_2465_2969_+	501	289.677	0	0	501	298.703	1	0.341252	501	305.481	2	1.04365	501	339.903	1	0.199293	501	309.142	0	0	501	333.955	2	0.361181	501	334.969	1	0.281046	501	349.128	1	0.23906	501	318.489	0	0
k141_10017_2981_3658_+	672	409.755	4	0.523501	672	394.29	8	2.06819	672	434.411	4	1.46781	672	576.748	4	0.469807	672	517.779	2	0.212566	672	473.964	0	0	672	515.112	1	0.18276	672	622.77	1	0.134018	672	692.104	2	0.295135
k141_10017_3837_4228_+	384	212.709	1	0.252113	384	193.076	4	2.11177	384	206.086	1	0.773501	384	273.968	3	0.741767	384	272.69	2	0.403617	384	287.949	3	0.628332	384	275.176	2	0.684228	384	206.717	0	0	384	209.035	0	0
k141_10017_393_645_+	249	87.245	0	0	249	91.7455	0	0	249	95.4645	0	0	249	153.334	2	0.883565	249	97.5108	0	0	249	95.9371	0	0	249	89.4238	0	0	249	97.5474	4	3.42244	249	98.6305	1	1.0355
k141_10017_4240_4990_+	744	338.435	1	0.158455	744	351.846	2	0.579419	744	331.619	1	0.480696	744	554.321	0	0	744	341.139	1	0.161316	744	353.76	1	0.17048	744	534.469	0	0	744	346.212	2	0.482147	744	558.965	0	0
k141_10017_5124_5665_+	537	266.999	2	0.401701	537	273.229	7.33498	2.73645	537	279.993	4	2.27732	537	283.485	4	0.95582	537	278.008	5	0.989739	537	278.831	8	1.73034	537	276.951	7	2.37945	537	296.717	9	2.53158	537	313.071	14	4.56718
k141_10017_686_865_+	177	44.6296	0	0	177	44.7885	0	0	177	47.5839	0	0	177	47.9894	1	1.41156	177	49.3884	0	0	177	51.4587	0	0	177	45.7622	0	0	177	50.2085	0	0	177	51.1093	0	0
k141_10021_1_825_+	822	729.404	4	0.294086	822	718.957	10.1202	1.43484	822	742.817	2.02988	0.435611	822	866.018	18.3259	1.43345	822	853.488	41	2.64359	822	881.698	42.5807	2.91257	822	871.751	26	2.80778	822	934.799	13	1.16069	822	1007.77	9	0.912101
k141_10021_918_1247_-	327	140.994	1	0.380347	327	149.514	0	0	327	155.212	1	1.02704	327	158.536	5	2.13642	327	156.665	1	0.351266	327	154.335	0	0	327	145.9	0	0	327	157.837	0	0	327	159.488	0	0
