Bin	Contig	GC	Length	Coverage	Lineage	Completeness	Contamination	Strain.heterogeneity
001	k141_6450	35.88709677419355	2232	27814.900999999998	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_8651	32.93051359516616	1324	5610.01285	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_12948	43.41290893015031	1131	20438.7535	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_4325	35.960591133004925	1218	4956.116	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_6462	38.44482009176527	41410	6467.0497	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_6464	33.16283034953112	2346	5216.448	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_8714	46.668786770551755	6289	3716.78385	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_87	55.15243902439024	3280	4949.53835	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_131	34.591747146619845	1139	12609.0435	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_10855	39.68748152672959	50749	5316.2931499999995	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_8729	46.76464900406111	25855	3342.96595	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_8732	45.167064439140816	1676	6741.71315	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_12999	44.29840142095915	39410	3498.4656	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
